Daily Time Spent on Site,Age,Area Income,Daily Internet Usage,Male
59.96,33,77143.61,197.66,0
76.83,28,67990.84,192.81,0
52.7,41,41059.64,109.34,1
87.16,37,50711.68,231.95,1
50.48,50,20592.99,162.43,0
42.44,56,43450.11,168.27,0
63.3,38,63071.34,116.19,0
37.65,51,50457.01,161.29,1
65.22,30,66263.37,240.09,1
87.46,37,61009.1,211.56,1
73.93,44,74180.05,218.22,0
81.45,31,66027.31,205.84,1
71.03,55,28186.65,150.77,0
74.88,27,67240.25,175.17,1
65.65,25,63879.72,224.92,1
56.2,49,53549.94,114.85,1
56.39,27,38817.4,248.12,1
53.14,38,49111.47,109.0,1
44.57,31,38349.78,133.17,1
84.69,31,46160.63,231.85,1
83.16,41,70185.06,194.95,0
62.79,36,18368.57,231.87,1
55.77,49,55942.04,117.33,1
48.73,27,34191.23,142.04,0
43.63,41,51662.24,123.25,1
58.21,37,47575.44,105.94,0
52.67,44,14775.5,191.26,0
50.63,50,25767.16,142.23,0
78.29,38,57844.96,252.07,0
41.73,28,61142.33,202.18,1
53.38,35,60803.37,120.06,1
78.77,28,63497.62,211.83,0
58.22,29,37345.24,120.9,0
73.15,25,64631.22,211.12,1
83.98,36,68305.91,194.62,0
39.5,31,49911.25,148.19,1
55.13,45,55605.92,111.71,0
80.71,26,58476.57,200.58,0
74.49,28,58996.12,237.34,0
76.49,23,56457.01,181.11,0
79.91,32,62772.42,230.18,1
50.32,40,27964.6,125.65,0
35.33,32,51510.18,200.22,0
86.63,39,63764.28,209.64,1
79.89,30,50356.06,241.38,1
70.2,34,32708.94,119.2,0
74.27,37,65180.97,247.05,1
75.74,25,61005.87,215.25,1
84.25,32,63936.5,170.9,1
51.87,50,51869.87,119.65,0
66.8,29,59683.16,248.51,0
66.49,20,56884.74,202.16,0
79.97,44,70449.04,216.0,0
43.97,36,68863.95,156.97,1
74.06,23,40345.49,225.99,0
82.12,52,28679.93,201.15,1
84.31,29,47139.21,225.87,0
53.92,41,25739.09,125.46,1
78.83,36,66050.63,234.64,1
43.84,36,70592.81,167.42,0
76.9,28,66107.84,212.67,0
74.18,28,69874.18,203.87,0
84.59,35,60015.57,226.54,1
41.35,27,39193.45,162.46,1
76.65,31,61117.5,238.43,0
56.57,26,56435.6,131.98,0
82.41,36,65882.81,222.08,0
56.56,26,68783.45,204.47,1
84.95,34,56379.3,230.36,0
65.19,36,75254.88,150.61,0
46.98,50,21644.91,175.37,0
80.31,44,56366.88,127.07,0
57.99,50,62466.1,124.58,0
85.77,27,52261.73,191.78,1
52.17,44,57594.7,115.37,1
50.52,28,66929.03,219.69,0
82.03,41,71511.08,187.53,0
69.2,42,26023.99,123.8,0
63.18,45,39211.49,107.92,0
35.25,50,47051.02,194.44,0
75.55,36,31998.72,123.71,1
68.25,33,76480.16,198.86,1
75.8,36,71222.4,224.9,0
43.49,47,50335.46,127.83,0
48.26,50,43573.66,122.45,1
74.84,37,64775.1,246.44,1
44.13,40,33601.84,128.48,1
37.32,50,56735.14,199.25,1
76.27,27,60082.66,226.69,1
35.49,48,43974.49,159.77,0
86.81,29,50820.74,199.62,1
78.84,32,62430.55,235.29,1
69.17,40,66193.81,123.62,0
44.11,41,43111.41,121.24,1
45.72,36,22473.08,154.02,1
85.78,34,50038.65,232.78,0
68.68,34,77220.42,187.03,1
79.53,51,46132.18,244.91,0
83.55,39,65816.38,221.18,1
76.02,22,46179.97,209.82,0
68.41,38,61428.18,259.76,0
50.08,40,64147.86,125.85,1
81.29,28,33239.2,219.72,0
36.31,47,57983.3,168.92,0
87.29,36,61628.72,209.93,1
41.86,39,53041.77,128.62,1
74.32,33,62060.11,128.17,0
61.88,45,38260.89,108.18,0
40.15,38,38745.29,134.88,1
78.36,24,58920.44,196.77,1
55.35,39,75509.61,153.17,1
68.95,51,74623.27,185.85,1
82.7,35,61383.79,231.07,0
39.19,54,52581.16,173.05,0
84.37,30,61389.5,201.58,0
62.42,38,74445.18,143.94,0
45.96,45,66281.46,141.22,0
56.91,50,21773.22,146.44,0
78.41,33,55368.67,248.23,1
80.72,31,68614.98,186.37,0
60.53,29,56759.48,123.28,0
68.01,25,68357.96,188.32,1
47.23,38,70582.55,149.8,1
42.05,51,28357.27,174.55,1
70.03,26,64264.25,227.72,1
46.61,52,27241.11,156.99,0
55.55,19,41920.79,187.95,0
65.72,36,28275.48,120.12,0
48.46,49,61230.03,132.38,1
89.66,34,52802.58,171.23,1
49.95,39,68737.75,136.59,0
64.24,30,59784.18,252.36,0
56.14,38,32689.04,113.53,1
73.27,28,67301.39,216.24,1
37.45,47,31281.01,167.86,0
43.77,52,49030.03,138.55,1
59.05,57,25583.29,169.23,1
41.82,41,24852.9,156.36,0
70.92,39,66522.79,249.81,1
66.83,46,77871.75,196.17,1
66.99,47,27262.51,124.44,1
70.9,28,71727.51,190.95,0
43.16,29,50666.5,143.04,1
76.2,24,47258.59,228.81,1
74.15,29,54806.18,245.89,1
39.76,28,35350.55,196.83,1
88.72,32,43870.51,211.87,1
33.52,43,42191.61,165.56,0
72.88,44,64011.26,125.12,0
57.7,34,42696.67,109.07,0
49.21,46,49206.4,115.6,0
57.35,29,41356.31,119.84,0
77.5,28,60997.84,225.34,1
59.05,52,50086.17,118.45,1
55.32,43,67682.32,127.65,0
49.81,35,57009.76,120.06,1
80.3,58,49090.51,173.43,0
66.18,55,28271.84,143.42,0
79.18,31,58443.99,236.96,0
77.63,29,56113.37,239.22,0
83.42,25,49850.52,183.42,1
50.18,35,63006.14,127.82,1
78.37,24,55015.08,207.27,0
76.79,27,55677.12,235.94,0
67.47,24,60514.05,225.05,1
66.0,48,24593.33,131.76,1
70.29,31,56974.51,254.65,1
33.33,45,53350.11,193.58,1
80.51,28,64008.55,200.28,1
68.58,41,13996.5,171.54,1
72.8,35,63551.67,249.54,0
77.31,32,62792.43,238.1,0
38.94,41,57587.0,142.67,1
46.43,28,53922.43,137.2,1
69.35,29,53431.35,252.77,1
42.83,34,54324.73,132.38,1
45.08,38,35349.26,125.27,0
36.08,45,41417.27,151.47,1
90.97,37,54520.14,180.77,0
44.33,41,43386.07,120.63,0
